	image-based	average
P0-O	0.6890000000000005	0.35589941972920874
P0-F0-T0.5	0.5380000000000004	0.06382978723404287
P0-F0-T1	0.5070000000000003	0.0038684719535783557
P0-F0-T2	0.5250000000000004	0.038684719535783556
P0-F1-T0.5	0.5050000000000003	0.0
P0-F1-T1	0.5320000000000004	0.0522243713733078
P0-F1-T2	0.5420000000000004	0.07156673114119957
P0-F2-T0.5	0.5200000000000004	0.02901353965183767
P0-F2-T1	0.5400000000000004	0.06769825918762122
P0-F2-T2	0.5460000000000004	0.0793036750483563
P1-O	1.0219999999999982	1.0
P1-F0-T0.5	0.5640000000000004	0.11411992263056149
P1-F0-T1	0.5280000000000004	0.04448742746615109
P1-F0-T2	0.6210000000000004	0.22437137330754464
P1-F1-T0.5	0.5600000000000004	0.10638297872340478
P1-F1-T1	0.5190000000000003	0.02707930367504849
P1-F1-T2	0.5660000000000004	0.11798839458413984
P1-F2-T0.5	0.5460000000000004	0.0793036750483563
P1-F2-T1	0.5370000000000004	0.06189555125725369
P1-F2-T2	0.5410000000000004	0.0696324951644104
P2-O	0.8830000000000007	0.7311411992263093
P2-F0-T0.5	0.5560000000000004	0.09864603481624806
P2-F0-T1	0.5390000000000004	0.06576402321083205
P2-F0-T2	0.6030000000000004	0.18955512572533942
P2-F1-T0.5	0.5400000000000004	0.06769825918762122
P2-F1-T1	0.5830000000000004	0.15087040618955588
P2-F1-T2	0.5860000000000004	0.1566731141199234
P2-F2-T0.5	0.5320000000000004	0.0522243713733078
P2-F2-T1	0.5730000000000004	0.1315280464216641
P2-F2-T2	0.5660000000000004	0.11798839458413984
P3-O	0.8680000000000007	0.7021276595744715
P3-F0-T0.5	0.5490000000000004	0.08510638297872382
P3-F0-T1	0.5680000000000004	0.1218568665377182
P3-F0-T2	0.5940000000000004	0.17214700193423682
P3-F1-T0.5	0.5420000000000004	0.07156673114119957
P3-F1-T1	0.5700000000000004	0.12572533849129655
P3-F1-T2	0.5410000000000004	0.0696324951644104
P3-F2-T0.5	0.5480000000000004	0.08317214700193465
P3-F2-T1	0.5370000000000004	0.06189555125725369
P3-F2-T2	0.5500000000000004	0.087040618955513
P4-O	0.9680000000000007	0.8955512572533894
P4-F0-T0.5	0.5410000000000004	0.0696324951644104
P4-F0-T1	0.5070000000000003	0.0038684719535783557
P4-F0-T2	0.5480000000000004	0.08317214700193465
P4-F1-T0.5	0.5160000000000003	0.021276595744680955
P4-F1-T1	0.5740000000000004	0.13346228239845326
P4-F1-T2	0.5620000000000004	0.11025145067698314
P4-F2-T0.5	0.5540000000000004	0.09477756286266971
P4-F2-T1	0.5380000000000004	0.06382978723404287
P4-F2-T2	0.5290000000000004	0.04642166344294027
P5-O	0.6680000000000005	0.31528046421663597
P5-F0-T0.5	0.5510000000000004	0.08897485493230219
P5-F0-T1	0.5590000000000004	0.1044487427466156
P5-F0-T2	0.5630000000000004	0.11218568665377232
P5-F1-T0.5	0.5460000000000004	0.0793036750483563
P5-F1-T1	0.5150000000000003	0.019342359767891778
P5-F1-T2	0.5360000000000004	0.059961315280464514
P5-F2-T0.5	0.5600000000000004	0.10638297872340478
P5-F2-T1	0.5210000000000004	0.030947775628626845
P5-F2-T2	0.5670000000000004	0.11992263056092903
P6-O	0.8520000000000006	0.6711798839458447
P6-F0-T0.5	0.5530000000000004	0.09284332688588054
P6-F0-T1	0.5260000000000004	0.04061895551257273
P6-F0-T2	0.5420000000000004	0.07156673114119957
P6-F1-T0.5	0.5210000000000004	0.030947775628626845
P6-F1-T1	0.5640000000000004	0.11411992263056149
P6-F1-T2	0.6170000000000004	0.2166344294003879
P6-F2-T0.5	0.5680000000000004	0.1218568665377182
P6-F2-T1	0.5620000000000004	0.11025145067698314
P6-F2-T2	0.5760000000000004	0.13733075435203163
P7-O	0.9300000000000007	0.8220502901354005
P7-F0-T0.5	0.5790000000000004	0.14313346228239915
P7-F0-T1	0.5410000000000004	0.0696324951644104
P7-F0-T2	0.5620000000000004	0.11025145067698314
P7-F1-T0.5	0.5470000000000004	0.08123791102514547
P7-F1-T1	0.5500000000000004	0.087040618955513
P7-F1-T2	0.5390000000000004	0.06576402321083205
P7-F2-T0.5	0.5520000000000004	0.09090909090909136
P7-F2-T1	0.5260000000000004	0.04061895551257273
P7-F2-T2	0.5700000000000004	0.12572533849129655
P8-O	0.8720000000000007	0.7098646034816283
P8-F0-T0.5	0.5180000000000003	0.02514506769825931
P8-F0-T1	0.5720000000000004	0.12959381044487492
P8-F0-T2	0.5250000000000004	0.038684719535783556
P8-F1-T0.5	0.5370000000000004	0.06189555125725369
P8-F1-T1	0.5490000000000004	0.08510638297872382
P8-F1-T2	0.5620000000000004	0.11025145067698314
P8-F2-T0.5	0.5740000000000004	0.13346228239845326
P8-F2-T1	0.5570000000000004	0.10058027079303725
P8-F2-T2	0.5860000000000004	0.1566731141199234
P9-O	0.9630000000000007	0.8858800773694434
P9-F0-T0.5	0.5540000000000004	0.09477756286266971
P9-F0-T1	0.5380000000000004	0.06382978723404287
P9-F0-T2	0.5410000000000004	0.0696324951644104
P9-F1-T0.5	0.5520000000000004	0.09090909090909136
P9-F1-T1	0.5720000000000004	0.12959381044487492
P9-F1-T2	0.5430000000000004	0.07350096711798876
P9-F2-T0.5	0.5830000000000004	0.15087040618955588
P9-F2-T1	0.5850000000000004	0.15473887814313422
P9-F2-T2	0.6080000000000004	0.1992263056092853
