	turing	average
P0-O	1.160999999999983	0.8614668218859242
P0-F0-T0.5	0.5180000000000003	0.11292200232829275
P0-F0-T1	0.47800000000000037	0.06635622817229578
P0-F0-T2	0.45600000000000035	0.04074505238649741
P0-F1-T0.5	0.5540000000000004	0.15483119906869008
P0-F1-T1	0.5050000000000003	0.09778812572759371
P0-F1-T2	0.46700000000000036	0.05355064027939659
P0-F2-T0.5	0.5100000000000003	0.10360884749709334
P0-F2-T1	0.47400000000000037	0.06169965075669607
P0-F2-T2	0.4890000000000004	0.07916181606519496
P1-O	1.0040000000000002	0.6786961583236562
P1-F0-T0.5	0.4890000000000004	0.07916181606519496
P1-F0-T1	0.4830000000000004	0.07217694994179541
P1-F0-T2	0.44600000000000034	0.029103608847498148
P1-F1-T0.5	0.47500000000000037	0.06286379511059599
P1-F1-T1	0.47700000000000037	0.06519208381839585
P1-F1-T2	0.4210000000000003	0.0
P1-F2-T0.5	0.5180000000000003	0.11292200232829275
P1-F2-T1	0.44800000000000034	0.031431897555297995
P1-F2-T2	0.44500000000000034	0.027939464493598222
P2-O	1.250999999999973	0.9662398137369059
P2-F0-T0.5	0.5660000000000004	0.16880093131548918
P2-F0-T1	0.5200000000000004	0.11525029103609259
P2-F0-T2	0.47300000000000036	0.060535506402796146
P2-F1-T0.5	0.5210000000000004	0.11641443538999252
P2-F1-T1	0.5270000000000004	0.12339930151339208
P2-F1-T2	0.4910000000000004	0.08149010477299481
P2-F2-T0.5	0.5290000000000004	0.12572759022119193
P2-F2-T1	0.5090000000000003	0.10244470314319341
P2-F2-T2	0.47600000000000037	0.06402793946449592
P3-O	1.2799999999999698	1.0
P3-F0-T0.5	0.5340000000000004	0.13154831199069156
P3-F0-T1	0.5050000000000003	0.09778812572759371
P3-F0-T2	0.47500000000000037	0.06286379511059599
P3-F1-T0.5	0.5540000000000004	0.15483119906869008
P3-F1-T1	0.5020000000000003	0.09429569266589392
P3-F1-T2	0.45900000000000035	0.04423748544819718
P3-F2-T0.5	0.5180000000000003	0.11292200232829275
P3-F2-T1	0.5070000000000003	0.10011641443539356
P3-F2-T2	0.47000000000000036	0.057043073341096366
P4-O	0.9970000000000008	0.6705471478463573
P4-F0-T0.5	0.4950000000000004	0.08614668218859452
P4-F0-T1	0.47000000000000036	0.057043073341096366
P4-F0-T2	0.44200000000000034	0.02444703143189844
P4-F1-T0.5	0.4930000000000004	0.08381839348079466
P4-F1-T1	0.47500000000000037	0.06286379511059599
P4-F1-T2	0.4230000000000003	0.0023282887077998517
P4-F2-T0.5	0.4910000000000004	0.08149010477299481
P4-F2-T1	0.46600000000000036	0.052386495925496664
P4-F2-T2	0.43900000000000033	0.020954598370198665
P5-O	1.1169999999999878	0.8102444703143331
P5-F0-T0.5	0.4990000000000004	0.09080325960419422
P5-F0-T1	0.5120000000000003	0.10593713620489319
P5-F0-T2	0.45100000000000035	0.034924330616997776
P5-F1-T0.5	0.5230000000000004	0.11874272409779238
P5-F1-T1	0.4930000000000004	0.08381839348079466
P5-F1-T2	0.48000000000000037	0.06868451688009562
P5-F2-T0.5	0.5230000000000004	0.11874272409779238
P5-F2-T1	0.4830000000000004	0.07217694994179541
P5-F2-T2	0.44600000000000034	0.029103608847498148
P6-O	1.2079999999999778	0.9161816065192147
P6-F0-T0.5	0.5280000000000004	0.124563445867292
P6-F0-T1	0.4950000000000004	0.08614668218859452
P6-F0-T2	0.46700000000000036	0.05355064027939659
P6-F1-T0.5	0.5250000000000004	0.12107101280559222
P6-F1-T1	0.4850000000000004	0.07450523864959525
P6-F1-T2	0.45700000000000035	0.04190919674039733
P6-F2-T0.5	0.5560000000000004	0.15715948777648991
P6-F2-T1	0.5050000000000003	0.09778812572759371
P6-F2-T2	0.46900000000000036	0.055878928987196444
P7-O	1.1849999999999803	0.8894062863795194
P7-F0-T0.5	0.5140000000000003	0.10826542491269305
P7-F0-T1	0.47200000000000036	0.05937136204889622
P7-F0-T2	0.43900000000000033	0.020954598370198665
P7-F1-T0.5	0.5030000000000003	0.09545983701979385
P7-F1-T1	0.47700000000000037	0.06519208381839585
P7-F1-T2	0.4870000000000004	0.07683352735739511
P7-F2-T0.5	0.5440000000000004	0.14318975552969082
P7-F2-T1	0.4960000000000004	0.08731082654249445
P7-F2-T2	0.46100000000000035	0.04656577415599703
P8-O	1.1399999999999852	0.8370197904540285
P8-F0-T0.5	0.5150000000000003	0.10942956926659296
P8-F0-T1	0.5120000000000003	0.10593713620489319
P8-F0-T2	0.44200000000000034	0.02444703143189844
P8-F1-T0.5	0.4850000000000004	0.07450523864959525
P8-F1-T1	0.4850000000000004	0.07450523864959525
P8-F1-T2	0.46200000000000035	0.04772991850989696
P8-F2-T0.5	0.5120000000000003	0.10593713620489319
P8-F2-T1	0.4950000000000004	0.08614668218859452
P8-F2-T2	0.47000000000000036	0.057043073341096366
P9-O	1.1449999999999847	0.8428405122235274
P9-F0-T0.5	0.5340000000000004	0.13154831199069156
P9-F0-T1	0.47200000000000036	0.05937136204889622
P9-F0-T2	0.46100000000000035	0.04656577415599703
P9-F1-T0.5	0.5300000000000004	0.12689173457509184
P9-F1-T1	0.4820000000000004	0.07101280558789548
P9-F1-T2	0.45300000000000035	0.03725261932479763
P9-F2-T0.5	0.5070000000000003	0.10011641443539356
P9-F2-T1	0.47800000000000037	0.06635622817229578
P9-F2-T2	0.46200000000000035	0.04772991850989696
